---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    1,848|
---------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|6410 |IC0143SRV |                    |476952923 |06/12/2009|81971804  |000010    |922-7885          |5.000     |NLCC |06/25/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476952930 |06/12/2009|81971805  |000010    |922-8359          |3.000     |NLCC |06/25/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0056SRV |                    |476952926 |06/12/2009|81971806  |000010    |922-7657          |1.000     |NLCC |06/24/2009|    |APPLE INC                          |                                        |
|6410 |IC0132SRV |                    |476961571 |06/14/2009|81973301  |000010    |922-6782          |4.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961571 |06/14/2009|81973302  |000030    |922-8489          |4.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961571 |06/14/2009|81973302  |000020    |922-7192          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961572 |06/14/2009|81973303  |000010    |661-3921          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000600    |661-4609          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000610    |661-4618          |7.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000630    |661-4634          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000640    |661-4670          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000650    |661-4702          |6.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000660    |661-4712          |10.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000670    |661-4723          |14.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000680    |661-4751          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000690    |661-4798          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000700    |661-4800          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
